source_code,name_pt,name_en,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g
1,"Arroz, integral, cozido",,123.53489250000001,2.58825,25.80975,1.0003333333333333
2,"Arroz, integral, cru",,359.6780020326088,7.323285869565217,77.45071413043479,1.8648333333333333
3,"Arroz, tipo 1, cozido",,128.25848566666664,2.5208166666666667,28.059849999999994,0.22699999999999998
4,"Arroz, tipo 1, cru",,357.789273115942,7.158539855072464,78.75954347826087,0.335
5,"Arroz, tipo 2, cozido",,130.11964833333332,2.568416666666667,28.19258333333333,0.36166666666666664
6,"Arroz, tipo 2, cru",,358.1167614565217,7.241882971014494,78.88145036231883,0.2755
7,"Aveia, flocos, crua",,393.82268944927546,13.921026086956523,66.63564057971016,8.496666666666666
8,"Biscoito, doce, maisena",,442.8193901449275,8.072521739130433,75.23414492753622,11.966666666666669
9,"Biscoito, doce, recheado com chocolate",,471.824779710145,6.397217391304348,70.54944927536232,19.583333333333332
10,"Biscoito, doce, recheado com morango",,471.1747362318841,5.719826086956521,71.01350724637682,19.573333333333334
11,"Biscoito, doce, wafer, recheado de chocolate",,502.4568579710144,5.564521739130435,67.53547826086955,24.673333333333332
12,"Biscoito, doce, wafer, recheado de morango",,513.4461826086956,4.517043478260871,67.35295652173913,26.4
13,"Biscoito, salgado, cream cracker",,431.73228115942027,10.055130434782608,68.73153623188405,14.436666666666667
14,"Bolo, mistura para",,418.6333333333333,6.159420289855073,84.71391304347826,6.126666666666666
15,"Bolo, pronto, aipim",,323.85166666666663,4.416666666666667,47.864,12.747666666666667
16,"Bolo, pronto, chocolate",,410.01366666666667,6.222916666666666,54.71775,18.472333333333335
17,"Bolo, pronto, coco",,333.4376666666667,5.666666666666666,52.276,11.296333333333331
18,"Bolo, pronto, milho",,311.387,4.804166666666667,45.10883333333334,12.415
19,"Canjica, branca, crua",,357.60258999999996,7.2,78.06099999999999,0.9710000000000001
20,"Canjica, com leite integral",,112.45677722046528,2.3606000423431395,23.62773329099018,1.2443333333333335
21,"Cereais, milho, flocos, com sal",,369.59975000000003,7.291666666666667,80.835,1.6033333333333335
22,"Cereais, milho, flocos, sem sal",,363.3383166666666,6.875,80.44833333333334,1.1833333333333333
23,"Cereais, mingau, milho, infantil",,394.42752173913044,6.431159420289855,87.26550724637681,1.0933333333333335
24,"Cereais, mistura para vitamina, trigo, cevada e aveia",,381.1333333333333,8.895833333333332,81.6175,2.12
25,"Cereal matinal, milho",,365.354163768116,7.155797101449275,83.82420289855072,0.9566666666666667
26,"Cereal matinal, milho, açúcar",,376.55525362318843,4.742753623188407,88.84057971014492,0.6666666666666666
27,"Creme de arroz, pó",,386.00119033639794,7.026949774742127,83.86938355859121,1.2260000000000002
28,"Creme de milho, pó",,333.03419267054403,4.820833333333333,86.1485,1.639333333333333
29,"Curau, milho verde",,78.43381831365585,2.3606000423431395,13.944399957656858,1.6369999999999998
30,"Curau, milho verde, mistura para",,402.28657743531465,2.2229166666666664,79.81641666666667,13.371333333333334
31,"Farinha, de arroz, enriquecida",,363.0564801812235,1.2693332926432292,85.50400004069012,0.3
32,"Farinha, de centeio, integral",,335.77766279932655,12.515066502888997,73.29826683044433,1.7533333333333332
33,"Farinha, de milho, amarela",,350.58693322738014,7.1875,79.07916666666665,1.4666666666666666
34,"Farinha, de rosca",,370.5780966666666,11.380999619166056,75.78566666666666,1.4633333333333332
35,"Farinha, de trigo",,360.4729785507247,9.79078260869565,75.09255072463769,1.366666666666667
36,"Farinha, láctea, de cereais",,414.8505173913043,11.87913043478261,77.77086956521738,5.79
37,"Lasanha, massa fresca, cozida",,163.76366666666667,5.8125,32.52216666666667,1.1583333333333332
38,"Lasanha, massa fresca, crua",,220.3056666666667,7.008333333333333,45.05833333333334,1.3376666666666666
39,"Macarrão, instantâneo",,435.8647805333334,8.79168,62.431653333333344,17.236666666666668
40,"Macarrão, trigo, cru",,371.1226130434783,9.995652173913044,77.94434782608695,1.3033333333333335
41,"Macarrão, trigo, cru, com ovos",,370.5671133333334,10.320799999999998,76.62253333333335,1.97
42,"Milho, amido, cru",,361.36682387826096,0.5978260869565217,87.14884391304349,1e-05
43,"Milho, fubá, cru",,353.482268115942,7.213768115942029,78.87289855072463,1.9033333333333333
44,"Milho, verde, cru",,138.166565,6.589583333333334,28.555749999999996,0.609
45,"Milho, verde, enlatado, drenado",,97.56489420289851,3.2282608695652177,17.135072463768108,2.353333333333333
46,"Mingau tradicional, pó",,373.4214666666667,0.5833333333333334,89.33666666666667,0.37
47,"Pamonha, barra para cozimento, pré-cozida",,171.2191116666667,2.5520833333333335,30.68491666666667,4.849666666666667
48,"Pão, aveia, forma",,343.0853666666667,12.35,59.56666666666666,5.693333333333334
49,"Pão, de soja",,308.7263233333333,11.343,56.510333333333335,3.58
50,"Pão, glúten, forma",,252.99402999999998,11.950999600092567,44.11899999999999,2.7266666666666666
51,"Pão, milho, forma",,292.01349,8.303,56.397,3.11
52,"Pão, trigo, forma, integral",,253.19361833333332,9.425166666666666,49.9415,3.6533333333333338
53,"Pão, trigo, francês",,299.8101504347826,7.953565217391304,58.646434782608694,3.1033333333333335
54,"Pão, trigo, sovado",,310.96494,8.398,61.452,2.84
55,"Pastel, de carne, cru",,288.70207151598953,10.74069964059194,42.01663369274139,8.793
56,"Pastel, de carne, frito",,388.37465162496756,10.104199661890666,43.76780033810934,20.136666666666667
57,"Pastel, de queijo, cru",,308.4744338873742,9.853399670282998,45.947933663050335,9.634666666666666
58,"Pastel, de queijo, frito",,422.11208003931927,8.709599708557128,48.1327336247762,22.670333333333332
59,"Pastel, massa, crua",,310.2025143333333,6.9027,57.379633333333324,5.477
60,"Pastel, massa, frita",,569.6724593333333,6.0192000000000005,49.34313333333334,40.86033333333334
